donor_id,fiscal_year,membership_status,renewal_flag,membership_amount,lapse_indicator
D001,2022,Active,Renewed,1000,No
D001,2023,Active,Renewed,1000,No
D001,2024,Active,Renewed,1200,No
D002,2022,Active,Renewed,500,No
D002,2023,Active,Renewed,500,No
D002,2024,Active,Renewed,600,No
D003,2022,Active,Renewed,300,No
D003,2023,Active,Renewed,300,No
D003,2024,Active,Renewed,350,No
D004,2022,Active,Renewed,1200,No
D004,2023,Active,Renewed,1200,No
D004,2024,Active,Renewed,1200,No
D005,2022,Inactive,No,0,Yes
D005,2023,Active,New,100,No
D005,2024,Active,Renewed,100,No
D006,2022,Active,Renewed,1500,No
D006,2023,Active,Renewed,1500,No
D006,2024,Active,Renewed,1500,No
D007,2022,Active,Renewed,400,No
D007,2023,Active,Renewed,400,No
D007,2024,Inactive,No,0,Yes
D008,2022,Inactive,No,0,Yes
D008,2023,Active,New,75,No
D008,2024,Active,Renewed,75,No
D009,2022,Active,Renewed,300,No
D009,2023,Inactive,No,0,Yes
D009,2024,Inactive,No,0,Yes
D010,2022,Active,Renewed,2000,No
D010,2023,Active,Renewed,2000,No
D010,2024,Active,Renewed,2200,No
D011,2022,Active,New,100,No
D011,2023,Active,Renewed,100,No
D011,2024,Active,Renewed,100,No
D012,2022,Active,Renewed,500,No
D012,2023,Active,Renewed,500,No
D012,2024,Active,Renewed,500,No
D013,2022,Active,Renewed,900,No
D013,2023,Active,Renewed,900,No
D013,2024,Inactive,No,0,Yes
D014,2022,Inactive,No,0,Yes
D014,2023,Active,New,75,No
D014,2024,Active,Renewed,75,No
D015,2022,Active,Renewed,1500,No
D015,2023,Active,Renewed,1500,No
D015,2024,Active,Renewed,1500,No
D016,2022,Active,Renewed,500,No
D016,2023,Active,Renewed,500,No
D016,2024,Active,Renewed,500,No
D017,2022,Inactive,No,0,Yes
D017,2023,Active,New,100,No
D017,2024,Active,Renewed,100,No
D018,2022,Active,Renewed,900,No
D018,2023,Active,Renewed,900,No
D018,2024,Inactive,No,0,Yes
D019,2022,Inactive,No,0,Yes
D019,2023,Inactive,No,0,Yes
D019,2024,Active,New,75,No
D020,2022,Active,Renewed,300,No
D020,2023,Inactive,No,0,Yes
D020,2024,Inactive,No,0,Yes
D021,2022,Active,Renewed,1800,No
D021,2023,Active,Renewed,1800,No
D021,2024,Active,Renewed,2000,No
D022,2022,Active,Renewed,500,No
D022,2023,Active,Renewed,500,No
D022,2024,Active,Renewed,550,No
D023,2022,Inactive,No,0,Yes
D023,2023,Active,New,100,No
D023,2024,Active,Renewed,100,No
D024,2022,Active,Renewed,950,No
D024,2023,Active,Renewed,950,No
D024,2024,Inactive,No,0,Yes
D025,2022,Inactive,No,0,Yes
D025,2023,Active,New,75,No
D025,2024,Active,Renewed,75,No
D026,2022,Active,Renewed,500,No
D026,2023,Active,Renewed,500,No
D026,2024,Active,Renewed,500,No
D027,2022,Active,Renewed,1800,No
D027,2023,Active,Renewed,1800,No
D027,2024,Active,Renewed,1800,No
D028,2022,Active,Renewed,300,No
D028,2023,Active,Renewed,300,No
D028,2024,Active,Renewed,350,No
D029,2022,Inactive,No,0,Yes
D029,2023,Active,New,100,No
D029,2024,Active,Renewed,100,No
D030,2022,Active,Renewed,1000,No
D030,2023,Active,Renewed,1000,No
D030,2024,Active,Renewed,1100,No
